Prefecture,Category,Item,Value,Date,Primary_source,Secondary_source
Hokkaido,Population,Total,5320,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Aomori,Population,Total,1278,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Iwate,Population,Total,1255,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Miyagi,Population,Total,2323,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Akita,Population,Total,996,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Yamagata,Population,Total,1102,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Fukushima,Population,Total,1882,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Ibaraki,Population,Total,2892,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Tochigi,Population,Total,1957,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Gunma,Population,Total,1960,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Saitama,Population,Total,7310,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Chiba,Population,Total,6246,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Tokyo,Population,Total,13724,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kanagawa,Population,Total,9159,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Niigata,Population,Total,2267,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Toyama,Population,Total,1056,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Ishikawa,Population,Total,1147,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Fukui,Population,Total,779,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Yamanashi,Population,Total,823,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Nagano,Population,Total,2076,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Gifu,Population,Total,2008,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Shizuoka,Population,Total,3675,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Aichi,Population,Total,7525,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Mie,Population,Total,1800,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Shiga,Population,Total,1413,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kyoto,Population,Total,2599,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Osaka,Population,Total,8823,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Hyogo,Population,Total,5503,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Nara,Population,Total,1348,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Wakayama,Population,Total,945,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Tottori,Population,Total,565,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Shimane,Population,Total,685,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Okayama,Population,Total,1907,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Hiroshima,Population,Total,2829,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Yamaguchi,Population,Total,1383,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Tokushima,Population,Total,743,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kagawa,Population,Total,967,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Ehime,Population,Total,1364,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kochi,Population,Total,714,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Fukuoka,Population,Total,5107,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Saga,Population,Total,824,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Nagasaki,Population,Total,1354,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kumamoto,Population,Total,1765,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Oita,Population,Total,1152,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Miyazaki,Population,Total,1089,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kagoshima,Population,Total,1626,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Okinawa,Population,Total,1443,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
